sepal length	sepal width	petal length	petal width	iris	Tree	kNN	Tree (Iris-setosa)	Tree (Iris-versicolor)	Tree (Iris-virginica)	kNN (Iris-setosa)	kNN (Iris-versicolor)	kNN (Iris-virginica)	Fold
continuous	continuous	continuous	continuous	Iris-setosa Iris-versicolor Iris-virginica	Iris-setosa Iris-versicolor Iris-virginica	Iris-setosa Iris-versicolor Iris-virginica	continuous	continuous	continuous	continuous	continuous	continuous	1 2 3 4 5 6 7 8 9 10
				class	meta	meta	meta	meta	meta	meta	meta	meta	meta
6.7	3.0	5.0	1.7	Iris-versicolor	Iris-virginica	Iris-versicolor	0.0	0.022222222222222223	0.9777777777777777	0.0	0.6	0.4	1
5.2	3.4	1.4	0.2	Iris-setosa	Iris-setosa	Iris-setosa	1.0	0.0	0.0	1.0	0.0	0.0	1
7.3	2.9	6.3	1.8	Iris-virginica	Iris-virginica	Iris-virginica	0.0	0.022222222222222223	0.9777777777777777	0.0	0.0	1.0	1
6.1	2.6	5.6	1.4	Iris-virginica	Iris-virginica	Iris-virginica	0.0	0.25	0.75	0.0	0.2	0.8	1
5.6	2.5	3.9	1.1	Iris-versicolor	Iris-versicolor	Iris-versicolor	0.0	1.0	0.0	0.0	1.0	0.0	1
5.8	4.0	1.2	0.2	Iris-setosa	Iris-setosa	Iris-setosa	1.0	0.0	0.0	1.0	0.0	0.0	1
6.4	3.2	4.5	1.5	Iris-versicolor	Iris-versicolor	Iris-versicolor	0.0	1.0	0.0	0.0	1.0	0.0	1
6.5	3.0	5.5	1.8	Iris-virginica	Iris-virginica	Iris-virginica	0.0	0.022222222222222223	0.9777777777777777	0.0	0.0	1.0	1
6.4	2.9	4.3	1.3	Iris-versicolor	Iris-versicolor	Iris-versicolor	0.0	1.0	0.0	0.0	1.0	0.0	2
5.9	3.0	5.1	1.8	Iris-virginica	Iris-virginica	Iris-virginica	0.0	0.043478260869565216	0.9565217391304348	0.0	0.2	0.8	2
6.1	3.0	4.6	1.4	Iris-versicolor	Iris-versicolor	Iris-versicolor	0.0	1.0	0.0	0.0	1.0	0.0	2
4.6	3.4	1.4	0.3	Iris-setosa	Iris-setosa	Iris-setosa	1.0	0.0	0.0	1.0	0.0	0.0	2
